name,id,latitude,longitude,altitude,velocity,visibility,footprint,timestamp,daynum,solar_lat,solar_lon,units
iss,25544,-4.1920538347632,98.36177897927,436.06113440082,27546.197614121,daylight,4588.2890017124,1600466750,2459111.4207176,1.4111040035021,207.00084459253,kilometers
iss,25544,-7.2288698687393,100.52962979067,436.70202946052,27544.102773605,daylight,4591.4781308424,1600466810,2459111.421412,1.4108347125659,206.75078271349,kilometers
iss,25544,-10.302046711304,102.76648015519,437.45227517882,27541.832538048,daylight,4595.2079441691,1600466871,2459111.4221181,1.4105609332015,206.4965531589,kilometers
iss,25544,-13.30473730348,105.0134375889,438.2798448497,27539.477324673,daylight,4599.3178635543,1600466931,2459111.4228125,1.4102916417231,206.24649128005,kilometers
iss,25544,-16.281079468384,107.32180824276,439.18726479812,27537.019105825,daylight,4603.8191612842,1600466991,2459111.4235069,1.4100223499815,205.99642940127,kilometers
iss,25544,-19.272929825399,109.74794110281,440.18084129527,27534.435125853,daylight,4608.7416487091,1600467052,2459111.424213,1.4097485697897,205.74219984698,kilometers
iss,25544,-22.174569830444,112.22947168871,441.21599135094,27531.832427733,daylight,4613.8632401685,1600467112,2459111.4249074,1.4094792775031,205.49213796839,kilometers
iss,25544,-25.074082082857,114.86801711824,442.31375468251,27529.148676555,daylight,4619.2869949112,1600467173,2459111.4256134,1.4092054965799,205.23790824661,kilometers
iss,25544,-27.866929948526,117.59700426379,443.42402124023,27526.496995654,daylight,4624.7645672946,1600467233,2459111.4263079,1.4089362037543,204.98784636821,kilometers
iss,25544,-30.590535504641,120.47987258364,444.54983835325,27523.859279107,daylight,4630.3107175975,1600467293,2459111.4270023,1.4086669106572,204.73778448991,kilometers
iss,25544,-33.276200224107,123.59188096724,445.69483036747,27521.218875588,daylight,4635.9429517148,1600467354,2459111.4277083,1.4083931290902,204.48355493608,kilometers
iss,25544,51.690910099402,-17.224219081994,441.07665453023,27554.894602522,eclipsed,4613.1742532856,1600470816,2459111.4677778,1.3928544467499,190.054983816,kilometers
iss,25544,51.79398441911,-11.255522082547,441.02969286569,27555.169688458,eclipsed,4612.9420106996,1600470876,2459111.4684722,1.3925851376667,189.80492194328,kilometers
iss,25544,51.568601574634,-5.3034447537936,440.9115644451,27555.468909026,eclipsed,4612.3577589331,1600470936,2459111.4691667,1.3923158283138,189.55486007066,kilometers
iss,25544,51.020509589072,0.54472067555456,440.72374922654,27555.789506772,eclipsed,4611.428655598,1600470996,2459111.4698611,1.3920465186913,189.30479819814,kilometers
iss,25544,50.146376231729,6.3044733109565,440.4646165139,27556.132374622,eclipsed,4610.1463737202,1600471057,2459111.4705671,1.3917727203342,189.05056865018,kilometers
iss,25544,48.994836319926,11.725681621357,440.14750273537,27556.47934085,eclipsed,4608.5765838623,1600471117,2459111.4712616,1.3915034101737,188.80050677786,kilometers
iss,25544,47.552286616155,16.9465763427,439.76838248083,27556.832943816,eclipsed,4606.6989839819,1600471178,2459111.4719676,1.3912296112671,188.5462772301,kilometers
iss,25544,45.892449831712,21.773777588757,439.34753283957,27557.171035789,eclipsed,4604.6136165144,1600471238,2459111.472662,1.3909603003885,188.29621519028,kilometers
iss,25544,44.020276885434,26.289816613099,438.88820167052,27557.487536699,eclipsed,4602.336242565,1600471298,2459111.4733565,1.3906909894295,188.04615331823,kilometers
iss,25544,41.925562093473,30.569439181611,438.39220738492,27557.773644897,eclipsed,4599.8755365227,1600471359,2459111.4740625,1.3904171897022,187.79192377077,kilometers
iss,25544,39.701124798715,34.488380162001,437.88701322663,27558.005698691,eclipsed,4597.3675253053,1600471419,2459111.4747569,1.3901478782027,187.54186189891,kilometers
iss,25544,37.335739009048,38.140556437937,437.37645290827,27558.173975913,eclipsed,4594.8311659353,1600471479,2459111.4754514,1.3898785664396,187.29180002714,kilometers
iss,25544,34.806353346312,41.604924722889,436.86450125509,27558.264141602,eclipsed,4592.2861676195,1600471540,2459111.4761574,1.389604765892,187.03757047997,kilometers
iss,25544,32.21320466813,44.793235485046,436.38060520054,27558.25796096,eclipsed,4589.8790459199,1600471600,2459111.4768519,1.3893354535915,186.7875086084,kilometers
iss,25544,29.530771056414,47.788932615874,435.92876904175,27558.142888499,eclipsed,4587.6300054188,1600471660,2459111.4775463,1.3890661410188,186.53744673693,kilometers
iss,25544,26.725636110822,50.661514119558,435.51488923247,27557.899795945,eclipsed,4585.5687070618,1600471721,2459111.4782523,1.3887923394796,186.28321702236,kilometers
iss,25544,23.901462274417,53.339388862492,435.16445275606,27557.523448708,eclipsed,4583.8224945187,1600471781,2459111.4789468,1.3885230263726,186.03315515107,kilometers
iss,25544,20.974636907974,55.933324185926,434.87720059758,27556.989192698,eclipsed,4582.3905184301,1600471842,2459111.4796528,1.3882492244676,185.77892560438,kilometers
iss,25544,18.050257770342,58.377765400601,434.67274911498,27556.304364011,eclipsed,4581.370976244,1600471902,2459111.4803472,1.3879799108207,185.52886373329,kilometers
iss,25544,15.088837978545,60.73403938401,434.55468181056,27555.453344162,eclipsed,4580.782080966,1600471962,2459111.4810417,1.3877105969132,185.27880186229,kilometers
iss,25544,12.097690408756,63.018728344212,434.53052667243,27554.430151431,eclipsed,4580.6615886966,1600472022,2459111.4817361,1.3874412827396,185.02873999138,kilometers
iss,25544,-49.879993978454,135.71366619457,453.29752862394,27504.158737232,daylight,4673.1287169016,1600473453,2459111.4982986,1.3810180604267,179.0647640296,kilometers
